lat,lon,allocatedcity,concat
51.6,-0.2,london,51.6:-0.2
50.3,-4.1,okehampton,50.3:-4.1
53.3,-1.1,sheffield,53.3:-1.1
53.4,-1.5,sheffield,53.4:-1.5
50.8,-1.1,salisbury,50.8:-1.1
52.3,-0.7,peterborough,52.3:-0.7
55.9,-3.2,edinburgh,55.9:-3.2
51.2,-0.2,london,51.2:-0.2
51.4,0.3,london,51.4:0.3
52.1,-0.5,peterborough,52.1:-0.5
51.4,-0.1,london,51.4:-0.1
55.9,-4.3,edinburgh,55.9:-4.3
51.6,0,london,51.6:0
51.6,0.3,london,51.6:0.3
52.3,-1.8,birmingham,52.3:-1.8
52.4,-1.5,birmingham,52.4:-1.5
51.8,-0.8,oxford,51.8:-0.8
52.3,0.4,peterborough,52.3:0.4
51.5,-0.3,london,51.5:-0.3
52.5,-2.3,birmingham,52.5:-2.3
53.4,-2.9,warrington,53.4:-2.9
51.5,-0.6,london,51.5:-0.6
55.8,-4.3,edinburgh,55.8:-4.3
51.5,-0.4,london,51.5:-0.4
51.4,-0.3,london,51.4:-0.3
51.5,0,london,51.5:0
51.5,0.1,london,51.5:0.1
56.2,-3.1,edinburgh,56.2:-3.1
56,-3.2,edinburgh,56:-3.2
52.1,-1.4,oxford,52.1:-1.4
50.6,-2,salisbury,50.6:-2
55.5,-4.4,dumfries,55.5:-4.4
51.4,0.5,london,51.4:0.5
53.8,-2.7,warrington,53.8:-2.7
51.9,-2.2,oxford,51.9:-2.2
52.4,-2,birmingham,52.4:-2
53.7,-2.8,warrington,53.7:-2.8
52.9,-1,sheffield,52.9:-1
53,-1,sheffield,53:-1
52.9,-1.1,sheffield,52.9:-1.1
52.7,-0.7,peterborough,52.7:-0.7
54.8,-7.5,dumfries,54.8:-7.5
52.6,-1.1,peterborough,52.6:-1.1
53.6,-2.1,warrington,53.6:-2.1
53.6,-0.6,sheffield,53.6:-0.6
53.6,-2.5,warrington,53.6:-2.5
53.4,-3,warrington,53.4:-3
55,-1.6,newcastle,55:-1.6
56,-3.8,edinburgh,56:-3.8
51.4,0.1,london,51.4:0.1
51.7,-0.1,london,51.7:-0.1
52.4,-1.9,birmingham,52.4:-1.9
52.5,-1.8,birmingham,52.5:-1.8
53.7,-1.8,sheffield,53.7:-1.8
52.1,-2.1,birmingham,52.1:-2.1
51.6,-1.4,oxford,51.6:-1.4
51.5,-2.6,cardiff,51.5:-2.6
51.5,0,london,51.5:0
51.1,0.3,brighton,51.1:0.3
54.9,-1.6,newcastle,54.9:-1.6
52.9,1.4,norwich,52.9:1.4
52.5,-1.9,birmingham,52.5:-1.9
50.9,0.1,brighton,50.9:0.1
51.9,-0.6,oxford,51.9:-0.6
56.4,-3.4,edinburgh,56.4:-3.4
51.5,-0.2,london,51.5:-0.2
50.4,-4.1,okehampton,50.4:-4.1
51.6,-0.1,london,51.6:-0.1
53.8,-1.5,sheffield,53.8:-1.5
51.2,-0.6,london,51.2:-0.6
51.7,-0.6,london,51.7:-0.6
52.5,-1.4,birmingham,52.5:-1.4
51.4,-1.4,oxford,51.4:-1.4
50.9,0.3,brighton,50.9:0.3
51.4,0.6,canterbury,51.4:0.6
51.9,-0.4,london,51.9:-0.4
51.1,-4.1,okehampton,51.1:-4.1
54.9,-1.4,newcastle,54.9:-1.4
51.5,-1,oxford,51.5:-1
53.7,-0.3,scarborough,53.7:-0.3
56.7,-4.1,Fort William,56.7:-4.1
51.5,-0.1,london,51.5:-0.1
55.8,-4.4,edinburgh,55.8:-4.4
55.9,-4,edinburgh,55.9:-4
50.7,-2,salisbury,50.7:-2
53.4,-2.6,warrington,53.4:-2.6
51.3,-0.7,london,51.3:-0.7
53.8,-1.7,sheffield,53.8:-1.7
51.5,-3.2,cardiff,51.5:-3.2
52.5,-2.2,birmingham,52.5:-2.2
50.7,-1.9,salisbury,50.7:-1.9
51.4,-0.2,london,51.4:-0.2
53.4,-2.8,warrington,53.4:-2.8
53.5,-2.2,warrington,53.5:-2.2
53.9,-1.9,kendal,53.9:-1.9
53.5,-2.3,warrington,53.5:-2.3
52.7,-2,birmingham,52.7:-2
51.5,-2.5,cardiff,51.5:-2.5
51.5,-0.7,london,51.5:-0.7
55.8,-4,edinburgh,55.8:-4
52.9,-0.6,peterborough,52.9:-0.6
53.5,-2.7,warrington,53.5:-2.7
51.6,-0.3,london,51.6:-0.3
52.5,-2,birmingham,52.5:-2
55.9,-4.8,edinburgh,55.9:-4.8
55,-1.4,newcastle,55:-1.4
52.2,-0.9,oxford,52.2:-0.9
51.3,-0.3,london,51.3:-0.3
51.7,-3.8,cardiff,51.7:-3.8
53.4,-2.2,warrington,53.4:-2.2
55.9,-3.1,edinburgh,55.9:-3.1
53.2,-0.6,sheffield,53.2:-0.6
53.2,-0.5,peterborough,53.2:-0.5
53.4,-1,sheffield,53.4:-1
51.4,0.2,london,51.4:0.2
51.8,-5.1,cardiff,51.8:-5.1
50.9,-0.1,brighton,50.9:-0.1
53.3,-3.7,corwen,53.3:-3.7
52.6,1.2,norwich,52.6:1.2
51.5,-2.7,cardiff,51.5:-2.7
52.5,-1.7,birmingham,52.5:-1.7
55.9,-4.2,edinburgh,55.9:-4.2
50.9,-1.4,salisbury,50.9:-1.4
51.1,-1.8,salisbury,51.1:-1.8
51.6,0,london,51.6:0
52.5,-2.1,birmingham,52.5:-2.1
53,-1.1,sheffield,53:-1.1
51,-2.2,salisbury,51:-2.2
51.8,-1.2,oxford,51.8:-1.2
53.6,0,sheffield,53.6:0
52.6,-2.2,birmingham,52.6:-2.2
55,-1.5,newcastle,55:-1.5
51.5,-3.1,cardiff,51.5:-3.1
50.5,-3.6,okehampton,50.5:-3.6
51.8,-0.3,london,51.8:-0.3
51.4,-2.6,cardiff,51.4:-2.6
53.6,-2.3,warrington,53.6:-2.3
53.5,-1.2,sheffield,53.5:-1.2
51.2,-1.5,salisbury,51.2:-1.5
52.2,-1.7,birmingham,52.2:-1.7
54,-2.8,kendal,54:-2.8
53.1,-2.5,warrington,53.1:-2.5
53.7,-2.7,warrington,53.7:-2.7
50.8,-0.5,brighton,50.8:-0.5
53.6,-2.4,warrington,53.6:-2.4
55.9,-3.5,edinburgh,55.9:-3.5
51.6,-3,cardiff,51.6:-3
52.6,-2,birmingham,52.6:-2
54.6,-5.9,dumfries,54.6:-5.9
53.7,-1.9,sheffield,53.7:-1.9
52.8,1.4,norwich,52.8:1.4
53.6,-3,warrington,53.6:-3
52.4,-1.8,birmingham,52.4:-1.8
51.4,-0.6,london,51.4:-0.6
51.8,-2.4,cardiff,51.8:-2.4
50.4,-3.9,okehampton,50.4:-3.9
54.9,-1.8,newcastle,54.9:-1.8
51.1,-1.3,salisbury,51.1:-1.3
53.9,-1.1,scarborough,53.9:-1.1
51.4,0,london,51.4:0
51.3,-0.1,london,51.3:-0.1
53.5,-1.4,sheffield,53.5:-1.4
52.4,1.3,norwich,52.4:1.3
51.2,0.3,london,51.2:0.3
53.2,-1.2,sheffield,53.2:-1.2
52.2,0.1,peterborough,52.2:0.1
52.8,0.5,norwich,52.8:0.5
52.7,0.2,peterborough,52.7:0.2
56.1,-3.5,edinburgh,56.1:-3.5
52.7,-2.4,birmingham,52.7:-2.4
53.6,-2.2,warrington,53.6:-2.2
52.7,-2.5,birmingham,52.7:-2.5
51.5,-1.5,oxford,51.5:-1.5
50.4,-4.2,okehampton,50.4:-4.2
53.7,-2.5,warrington,53.7:-2.5
56,-4.6,edinburgh,56:-4.6
51.3,-0.6,london,51.3:-0.6
50.8,0,brighton,50.8:0
57.5,-4.2,Fort William,57.5:-4.2
52.4,0.3,peterborough,52.4:0.3
50.8,-0.1,brighton,50.8:-0.1
51.8,-0.7,oxford,51.8:-0.7
53.7,-0.4,scarborough,53.7:-0.4
53.8,-0.5,scarborough,53.8:-0.5
51.9,0.1,london,51.9:0.1
51.8,0.1,london,51.8:0.1
