zone,days,avg_1m,avg_2m,avg_rem,retention,retention_1m,retention_2m,pct_1m_1j,pct_1m_2j,jpj_1m,jpj_2m,jpj_ovrl
birmingham,30,23.466666666666665,17.7,2.2333333333333334,0.8682926829268293,0.8640483383685801,0.8732394366197183,0.8025568181818182,0.19744318181818182,6.53932584269663,4.95483870967742,5.514285714285714
brighton,30,5.6,6.066666666666666,0.7,0.6146788990825688,0.5471698113207547,0.6785714285714286,0.6190476190476191,0.38095238095238093,5.5,4.711864406779661,4.8625
cardiff,30,7.2,8.3,1.2,0.848421052631579,0.7867298578199052,0.8977272727272727,0.6481481481481481,0.35185185185185186,5.833333333333333,4.409638554216867,4.660550458715596
cornwall,29,3.4827586206896552,4.551724137931035,0.4482758620689655,0.9112903225806451,0.8910891089108911,0.9251700680272109,0.5247524752475248,0.4752475247524752,4.818181818181818,4.212765957446808,4.327586206896552
east yorkshire,29,2.6206896551724137,3.0344827586206895,0.3793103448275862,0.6312849162011173,0.5555555555555556,0.6938775510204082,0.5921052631578947,0.40789473684210525,5.0,4.758620689655173,4.815789473684211
edinburgh-glasgow,30,11.266666666666667,15.066666666666666,1.4333333333333333,0.9951338199513382,0.9970326409495549,0.9938144329896907,0.5798816568047337,0.42011834319526625,5.885714285714286,5.2,5.3229813664596275
kent,30,1.9333333333333333,3.2666666666666666,0.26666666666666666,0.6161616161616161,0.4606741573033708,0.7431192660550459,0.41379310344827586,0.5862068965517241,4.8,4.827586206896552,4.823529411764706
lake district,25,0.92,0.68,0.08,0.391304347826087,0.41379310344827586,0.375,0.6521739130434783,0.34782608695652173,5.0,4.0,4.2727272727272725
london,30,122.26666666666667,83.26666666666667,7.5,0.9508721395423267,0.9520891364902507,0.9492290334712298,0.8775899672846238,0.12241003271537623,6.871951219512195,4.960606060606061,5.7653679653679655
manchester,30,25.866666666666667,23.4,2.566666666666667,0.9412153236459709,0.9378306878306878,0.9445910290237467,0.7332474226804123,0.2667525773195876,7.325,5.216494845360825,5.8145454545454545
newcastle,30,5.666666666666667,7.2,1.0,0.9557739557739557,0.9444444444444444,0.963265306122449,0.5,0.5,5.666666666666667,4.971014492753623,5.095238095238095
north lake district,23,0.17391304347826086,0.34782608695652173,0.13043478260869565,0.21153846153846154,0.18181818181818182,0.23333333333333334,0.0,1.0,,3.75,3.75
north wales,21,0.38095238095238093,0.5238095238095238,0.09523809523809523,0.23809523809523808,0.2222222222222222,0.25,0.375,0.625,3.0,3.6,3.5
northeast scotland,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
norwich,30,2.6,3.566666666666667,0.4,0.6313725490196078,0.5478260869565217,0.7,0.38461538461538464,0.6153846153846154,5.0,4.5,4.568181818181818
oxford,30,11.333333333333334,9.666666666666666,0.7666666666666667,0.5639810426540285,0.5275229357798165,0.6029411764705882,0.75,0.25,6.069767441860465,4.858823529411764,5.265625
peterborough,30,7.066666666666666,7.4,0.7,0.5487603305785124,0.5033112582781457,0.594059405940594,0.6367924528301887,0.3632075471698113,5.56,4.647887323943662,4.885416666666667
salisbury,30,7.666666666666667,9.1,1.0,0.6804915514592934,0.6068965517241379,0.739612188365651,0.6565217391304348,0.34347826086956523,5.571428571428571,4.690476190476191,4.910714285714286
sheffield,30,22.266666666666666,14.8,1.5666666666666667,0.8060413354531002,0.8226950354609929,0.7848101265822784,0.7949101796407185,0.20359281437125748,7.207792207792208,5.341666666666667,6.045454545454546
