zone,days,avg_1m,avg_2m,avg_rem,retention,retention_1m,retention_2m,pct_1m_1j,pct_1m_2j,jpj_1m,jpj_2m,jpj_ovrl
birmingham,33,22.242424242424242,17.12121212121212,2.0,0.8705621301775148,0.8557142857142858,0.8865030674846626,0.782016348773842,0.21798365122615804,6.602150537634409,5.232142857142857,5.684410646387833
brighton,33,5.333333333333333,5.878787878787879,0.8181818181818182,0.6045548654244306,0.5258620689655172,0.6772908366533864,0.5965909090909091,0.4034090909090909,5.85,4.897058823529412,5.067415730337078
cardiff,33,8.151515151515152,6.242424242424242,1.1515151515151516,0.8774703557312253,0.8576923076923076,0.8983739837398373,0.6914498141263941,0.30855018587360594,5.6571428571428575,4.409638554216867,4.779661016949152
cornwall,33,2.9696969696969697,3.878787878787879,0.3939393939393939,0.8897058823529411,0.8454545454545455,0.9197530864197531,0.5918367346938775,0.40816326530612246,4.333333333333333,4.291666666666667,4.301587301587301
east yorkshire,32,2.375,2.34375,0.375,0.5789473684210527,0.48863636363636365,0.6568627450980392,0.6447368421052632,0.35526315789473684,5.5,4.5,4.7631578947368425
edinburgh-glasgow,33,10.909090909090908,13.787878787878787,1.3333333333333333,0.9966442953020134,0.9973045822102425,0.9961759082217974,0.6055555555555555,0.39444444444444443,5.878048780487805,5.057971014492754,5.245810055865922
kent,33,1.7272727272727273,2.393939393939394,0.24242424242424243,0.5463414634146342,0.40625,0.6697247706422018,0.5614035087719298,0.43859649122807015,5.333333333333333,4.5,4.647058823529412
lake district,29,0.6206896551724138,0.8275862068965517,0.2413793103448276,0.475,0.3333333333333333,0.56,0.4444444444444444,0.4444444444444444,4.0,3.857142857142857,3.764705882352941
london,33,120.36363636363636,77.06060606060606,7.121212121212121,0.9522106166833596,0.953665113998529,0.9501718213058419,0.8987915407854985,0.10020140986908359,6.93859649122807,4.967329545454546,5.827478532396565
manchester,33,26.303030303030305,19.939393939393938,2.727272727272727,0.9380165289256198,0.9314917127071823,0.9455006337135615,0.8214285714285714,0.17857142857142858,7.6138613861386135,5.172774869109948,6.0
newcastle,33,5.757575757575758,6.090909090909091,1.0909090909090908,0.9457013574660633,0.9282051282051282,0.9595141700404858,0.46842105263157896,0.531578947368421,6.176470588235294,5.112676056338028,5.318181818181818
north lake district,23,0.08695652173913043,0.43478260869565216,0.08695652173913043,0.16981132075471697,0.08333333333333333,0.2413793103448276,0.0,1.0,,3.5,3.5
north wales,25,0.24,0.48,0.12,0.19696969696969696,0.13513513513513514,0.27586206896551724,0.0,1.0,,4.2,4.2
northeast scotland,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
northwest scotland,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
norwich,32,2.125,3.375,0.34375,0.622568093385214,0.5288461538461539,0.6862745098039216,0.39705882352941174,0.6029411764705882,4.571428571428571,4.365853658536586,4.395833333333333
oxford,33,8.909090909090908,9.121212121212121,1.2121212121212122,0.5590200445434298,0.4668094218415418,0.6589327146171694,0.7278911564625851,0.272108843537415,6.102564102564102,4.742268041237113,5.132352941176471
peterborough,33,6.636363636363637,6.515151515151516,0.696969696969697,0.5615384615384615,0.4631268436578171,0.6688102893890675,0.684931506849315,0.3150684931506849,5.8,4.802816901408451,5.099009900990099
salisbury,33,6.090909090909091,6.787878787878788,0.8484848484848485,0.613905325443787,0.5239616613418531,0.6914600550964187,0.7064676616915423,0.2935323383084577,5.857142857142857,4.45,4.814814814814815
sheffield,33,20.060606060606062,14.575757575757576,1.4242424242424243,0.7889842632331903,0.775483870967742,0.8057784911717496,0.7854984894259819,0.21148036253776434,7.379746835443038,5.4338235294117645,6.1013824884792625
