london,okehampton,salisbury,cardiff,birmingham,corwen,oxford,peterborough,brighton,canterbury,norwich,warrington,sheffield,kendal,scarborough,newcastle,dumfries,edinburgh,Fort.William,Aberdeen
local,national,local,national,national,national,local,local,local,local,local,national,national,national,national,national,national,national,national,national
national,local,local,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national
local,local,local,local,national,national,local,national,local,national,national,national,national,national,national,national,national,national,national,national
national,national,local,local,local,national,local,national,national,national,national,national,national,national,national,national,national,national,national,national
national,national,national,local,local,local,local,local,national,national,national,local,local,national,national,national,national,national,national,national
national,national,national,national,local,local,national,national,national,national,national,local,local,national,national,national,national,national,national,national
local,national,local,local,local,national,local,local,local,national,national,national,national,national,national,national,national,national,national,national
local,national,national,national,local,national,local,local,national,national,local,national,local,national,national,national,national,national,national,national
local,national,local,national,national,national,local,national,local,local,national,national,national,national,national,national,national,national,national,national
local,national,national,national,national,national,national,national,local,local,national,national,national,national,national,national,national,national,national,national
local,national,national,national,national,national,national,local,national,national,local,national,national,national,national,national,national,national,national,national
national,national,national,national,local,local,national,national,national,national,national,local,local,local,national,national,national,national,national,national
national,national,national,national,local,local,national,local,national,national,national,local,local,local,local,national,national,national,national,national
national,national,national,national,national,national,national,national,national,national,national,local,local,local,local,local,local,national,national,national
national,national,national,national,national,national,national,national,national,national,national,national,local,local,local,local,national,national,national,national
national,national,national,national,national,national,national,national,national,national,national,national,national,local,local,local,local,local,national,national
national,national,national,national,national,national,national,national,national,national,national,national,national,local,national,local,local,local,national,national
national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,local,local,local,national,national
national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,local,national
national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,national,local
